Time Period Performance Statistics,Data,12/01/25,U21244041,-0.242955878
Time Period Performance Statistics,Data,12/02/25,U21244041,0.014071089
Time Period Performance Statistics,Data,12/03/25,U21244041,0.222103465
Time Period Performance Statistics,Data,12/04/25,U21244041,-0.034397187
Time Period Performance Statistics,Data,12/05/25,U21244041,0.033032981
Time Period Performance Statistics,Data,12/08/25,U21244041,-0.241022675
Time Period Performance Statistics,Data,12/09/25,U21244041,-0.098338648
Time Period Performance Statistics,Data,12/10/25,U21244041,0.44393265
Time Period Performance Statistics,Data,12/11/25,U21244041,0.170417797
Time Period Performance Statistics,Data,12/12/25,U21244041,-0.310256569
Time Period Performance Statistics,Data,12/15/25,U21244041,0.079407248
Time Period Performance Statistics,Data,12/16/25,U21244041,-0.200311399
Time Period Performance Statistics,Data,12/17/25,U21244041,-0.081268972
Time Period Performance Statistics,Data,12/18/25,U21244041,0.172670869
Time Period Performance Statistics,Data,12/19/25,U21244041,0.146328626
Time Period Performance Statistics,Data,12/22/25,U21244041,0.192325263
Time Period Performance Statistics,Data,12/23/25,U21244041,0.138330927
Time Period Performance Statistics,Data,12/24/25,U21244041,0.150351753
Time Period Performance Statistics,Data,12/25/25,U21244041,0
Time Period Performance Statistics,Data,12/26/25,U21244041,0.175602943
Time Period Performance Statistics,Data,12/29/25,U21244041,-0.148533996
Time Period Performance Statistics,Data,12/30/25,U21244041,0.055343813
Time Period Performance Statistics,Data,12/31/25,U21244041,-0.321022
Cumulative Performance Statistics,MetaInfo,Analysis Period,"October 1, 2025 - December 31, 2025"
Cumulative Performance Statistics,Header,Date,Account,Return
Cumulative Performance Statistics,Data,10/01/25,U21244041,0.033777515
Cumulative Performance Statistics,Data,10/02/25,U21244041,0.059975233
Cumulative Performance Statistics,Data,10/03/25,U21244041,0.077786098
Cumulative Performance Statistics,Data,10/06/25,U21244041,0.0976785
Cumulative Performance Statistics,Data,10/07/25,U21244041,0.115514413
Cumulative Performance Statistics,Data,10/08/25,U21244041,0.116577045
Cumulative Performance Statistics,Data,10/09/25,U21244041,0.100870641
Cumulative Performance Statistics,Data,10/10/25,U21244041,0.152257363
Cumulative Performance Statistics,Data,10/13/25,U21244041,0.163844423
Cumulative Performance Statistics,Data,10/14/25,U21244041,0.181684582
Cumulative Performance Statistics,Data,10/15/25,U21244041,0.216298023
Cumulative Performance Statistics,Data,10/16/25,U21244041,0.250911463
Cumulative Performance Statistics,Data,10/17/25,U21244041,0.251982161
Cumulative Performance Statistics,Data,10/20/25,U21244041,0.255194256
Cumulative Performance Statistics,Data,10/21/25,U21244041,0.281425089
Cumulative Performance Statistics,Data,10/22/25,U21244041,0.299269069
Cumulative Performance Statistics,Data,10/23/25,U21244041,0.300339767
Cumulative Performance Statistics,Data,10/24/25,U21244041,0.309796894
Cumulative Performance Statistics,Data,10/27/25,U21244041,0.354942404
Cumulative Performance Statistics,Data,10/28/25,U21244041,0.364403776
Cumulative Performance Statistics,Data,10/29/25,U21244041,0.357092292
Cumulative Performance Statistics,Data,10/30/25,U21244041,0.333007101
Cumulative Performance Statistics,Data,10/31/25,U21244041,0.342366158
Cumulative Performance Statistics,Data,11/03/25,U21244041,0.348870586
Cumulative Performance Statistics,Data,11/04/25,U21244041,0.375002925
Cumulative Performance Statistics,Data,11/05/25,U21244041,0.384361557
Cumulative Performance Statistics,Data,11/06/25,U21244041,0.4272693
Cumulative Performance Statistics,Data,11/07/25,U21244041,0.445037711
Cumulative Performance Statistics,Data,11/10/25,U21244041,0.464796382
Cumulative Performance Statistics,Data,11/11/25,U21244041,0.465791511
Cumulative Performance Statistics,Data,11/12/25,U21244041,0.475173069
Cumulative Performance Statistics,Data,11/13/25,U21244041,0.484555052
Cumulative Performance Statistics,Data,11/14/25,U21244041,0.493940855
Cumulative Performance Statistics,Data,11/17/25,U21244041,0.513712262
Cumulative Performance Statistics,Data,11/18/25,U21244041,0.531484918
Cumulative Performance Statistics,Data,11/19/25,U21244041,0.532484293
Cumulative Performance Statistics,Data,11/20/25,U21244041,0.558643802
Cumulative Performance Statistics,Data,11/21/25,U21244041,0.584802887
Cumulative Performance Statistics,Data,11/24/25,U21244041,0.612961147
Cumulative Performance Statistics,Data,11/25/25,U21244041,0.757242243
Cumulative Performance Statistics,Data,11/26/25,U21244041,1.068355221
Cumulative Performance Statistics,Data,11/27/25,U21244041,1.068355221
Cumulative Performance Statistics,Data,11/28/25,U21244041,1.238416656
Cumulative Performance Statistics,Data,12/01/25,U21244041,0.992451972
Cumulative Performance Statistics,Data,12/02/25,U21244041,1.00666271
Cumulative Performance Statistics,Data,12/03/25,U21244041,1.231002007
Cumulative Performance Statistics,Data,12/04/25,U21244041,1.19618139
Cumulative Performance Statistics,Data,12/05/25,U21244041,1.229609505
Cumulative Performance Statistics,Data,12/08/25,U21244041,0.985623193
Cumulative Performance Statistics,Data,12/09/25,U21244041,0.886315296
Cumulative Performance Statistics,Data,12/10/25,U21244041,1.334182588
Cumulative Performance Statistics,Data,12/11/25,U21244041,1.50687407
Cumulative Performance Statistics,Data,12/12/25,U21244041,1.191942325
Cumulative Performance Statistics,Data,12/15/25,U21244041,1.272296061
Cumulative Performance Statistics,Data,12/16/25,U21244041,1.069436108
Cumulative Performance Statistics,Data,12/17/25,U21244041,0.987298016
Cumulative Performance Statistics,Data,12/18/25,U21244041,1.161673661
Cumulative Performance Statistics,Data,12/19/25,U21244041,1.309702148
Cumulative Performance Statistics,Data,12/22/25,U21244041,1.504546299
Cumulative Performance Statistics,Data,12/23/25,U21244041,1.644958479
Cumulative Performance Statistics,Data,12/24/25,U21244041,1.797783456
Cumulative Performance Statistics,Data,12/25/25,U21244041,1.797783456
Cumulative Performance Statistics,Data,12/26/25,U21244041,1.976543359
Cumulative Performance Statistics,Data,12/29/25,U21244041,1.825073524
Cumulative Performance Statistics,Data,12/30/25,U21244041,1.881427403
Cumulative Performance Statistics,Data,12/31/25,U21244041,1.554365607
Risk Measures,MetaInfo,Analysis Period,"October 1, 2025 - December 31, 2025"
Risk Measures,Header,Risk Measure,Account,Account Value
Risk Measures,Data,Ending VAMI:,U21244041,1015.543656069
Risk Measures,Data,Max Drawdown:,U21244041,0.511862924
Risk Measures,Data,Peak-To-Valley:,U21244041,20251211 - 20251217
Risk Measures,Data,Recovery:,U21244041,4 Days
Risk Measures,Data,Sharpe Ratio:,U21244041,1.216474786
Risk Measures,Data,Sortino Ratio:,U21244041,1.785085102
Risk Measures,Data,Standard Deviation:,U21244041,0.121222364
Risk Measures,Data,Downside Deviation:,U21244041,0.082608918
Risk Measures,Data,Mean Return:,U21244041,0.023446025
Risk Measures,Data,Positive Periods:,U21244041,54 (81.818181818)
Risk Measures,Data,Negative Periods:,U21244041,12 (18.181818182)
Performance by Asset Class,MetaInfo,Analysis Period,"October 1, 2025 - December 31, 2025"
Performance by Asset Class,Header,Date,Commodities,Equities,Fixed Income,Cash
Performance by Asset Class,Data,20251001,0,0,0.032739931,0.001037584
Performance by Asset Class,Data,20251002,0,0,0.025151639,0.001037233
Performance by Asset Class,Data,20251003,0,0,0.016763228,0.001036962
Performance by Asset Class,Data,20251006,0,0,0.016760244,0.003116695
Performance by Asset Class,Data,20251007,0,0,0.016756914,0.001061595
Performance by Asset Class,Data,20251008,0,0,0,0.001061406
Performance by Asset Class,Data,20251009,0,0,-0.016753751,0.001065635
Performance by Asset Class,Data,20251010,0,0,0.050269138,0.001065802
Performance by Asset Class,Data,20251013,0,0,0.008373679,0.003195766
Performance by Asset Class,Data,20251014,0,0,0.016745844,0.001065132
Performance by Asset Class,Data,20251015,0,0,0.033485725,0.001064942
Performance by Asset Class,Data,20251016,0,0,0.033474159,0.001064575
Performance by Asset Class,Data,20251017,0,0,0,0.001068018
Performance by Asset Class,Data,20251020,0,0,0,0.003204021
Performance by Asset Class,Data,20251021,0,0,0.025096091,0.001067973
Performance by Asset Class,Data,20251022,0,0,0.01672621,0.001067693
Performance by Asset Class,Data,20251023,0,0,0,0.001067504
Performance by Asset Class,Data,20251024,0,0,0.008361316,0.001067492
Performance by Asset Class,Data,20251027,0,0,0.041803909,0.003202174
Performance by Asset Class,Data,20251028,0,0,0.008356767,0.001071142
Performance by Asset Class,Data,20251029,0,0,-0.008355979,0.001071041
Performance by Asset Class,Data,20251030,0,0,-0.025070609,0.001071119
Performance by Asset Class,Data,20251031,0,0,0.008359017,0.000968977
Performance by Asset Class,Data,20251103,0,0,0.003586997,0.002895238
Performance by Asset Class,Data,20251104,0,0,0.025072663,0.000968824
Performance by Asset Class,Data,20251105,0,0,0.008355097,0.000968572
Performance by Asset Class,Data,20251106,0,0,0.041772857,0.000970596
Performance by Asset Class,Data,20251107,0,0,0.016701919,0.000990896
Performance by Asset Class,Data,20251110,0,0,0.016698965,0.002972161
Performance by Asset Class,Data,20251111,0,0,0,0.000990526
Performance by Asset Class,Data,20251112,0,0,0.008347546,0.000990516
Performance by Asset Class,Data,20251113,0,0,0.008347189,0.000990423
Performance by Asset Class,Data,20251114,0,0,0.008345988,0.000994556
Performance by Asset Class,Data,20251117,0,0,0.016690839,0.002983389
Performance by Asset Class,Data,20251118,0,0,0.016687556,0.000994267
Performance by Asset Class,Data,20251119,0,0,0,0.000994092
Performance by Asset Class,Data,20251120,0,0,0.02502687,0.000994082
Performance by Asset Class,Data,20251121,0,0,0.025019938,0.000993823
Performance by Asset Class,Data,20251124,0,0,0.025013853,0.002980694
Performance by Asset Class,Data,20251125,0.015859327,0.111736756,0.014395412,0.001410602
Performance by Asset Class,Data,20251126,0.072418722,0.220637522,0.014311664,0.001406896
Performance by Asset Class,Data,20251127,0,0,0,0
Performance by Asset Class,Data,20251128,0.078964156,0.119755337,-0.030455713,0
Performance by Asset Class,Data,20251201,0.029280276,-0.165325805,-0.106910349,0
Performance by Asset Class,Data,20251202,-0.027093773,0.007900459,0.033264403,0
Performance by Asset Class,Data,20251203,0.024832464,0.130930607,0.066340394,0
Performance by Asset Class,Data,20251204,0.006757482,0.036256302,-0.077410971,0
Performance by Asset Class,Data,20251205,0.045065378,0.03286601,-0.044898407,0
Performance by Asset Class,Data,20251208,-0.083343419,-0.121177533,-0.036501723,0
Performance by Asset Class,Data,20251209,-0.031611539,-0.03068708,-0.03604003,0
Performance by Asset Class,Data,20251210,0.040683415,0.292755374,0.110493861,0
Performance by Asset Class,Data,20251211,0,0.144559136,0.02585866,0
Performance by Asset Class,Data,20251212,-0.062898419,-0.202459148,-0.044899002,0
Performance by Asset Class,Data,20251215,-0.009013453,0.043329101,0.0450916,0
Performance by Asset Class,Data,20251216,-0.049534659,-0.217121709,0.066344969,0
Performance by Asset Class,Data,20251217,0.056402365,-0.136820734,-0.000850604,0
Performance by Asset Class,Data,20251218,-0.036126874,0.137307428,0.071490314,0
Performance by Asset Class,Data,20251219,0.036064601,0.14859945,-0.038335425,0
Performance by Asset Class,Data,20251222,0.049516369,0.1693313,-0.026522406,0
Performance by Asset Class,Data,20251223,0.069639132,0.101241306,-0.032549511,0
Performance by Asset Class,Data,20251224,0,0.086306647,0.064001668,0.000043438
Performance by Asset Class,Data,20251225,0,0,0,0
Performance by Asset Class,Data,20251226,0.058238768,0.060415329,0.056875445,0.0000734
Performance by Asset Class,Data,20251229,-0.098385148,-0.093863138,0.043603133,0.000111156
Performance by Asset Class,Data,20251230,0.038015204,0.013721297,0.003607313,0
Performance by Asset Class,Data,20251231,-0.069381522,-0.183424892,-0.06828976,0.000074173
Performance by Asset Class,Data,Total,0.154144892,0.706821357,0.628243602,0.059609999
Performance by Symbol,MetaInfo,Analysis Period,"October 1, 2025 - December 31, 2025"
Performance by Symbol,Header,Symbol,Description,FinancialInstrument,Sector,AvgWeight,Return,Contribution,Unrealized_P&L,Realized_P&L,Open
Performance by Symbol,Data,BCI,ABRDN BLOOMBERG ALL COMMODIT,ETFs,Basic Materials,5.119038399,3.079914561,0.154144892,"-13,642.46",0.00,Yes
Performance by Symbol,Data,BND,VANGUARD TOTAL BOND MARKET,ETFs,Broad,9.872977264,-0.327549016,-0.032269427,"-2,312.71",0.00,Yes
Performance by Symbol,Data,ICSH,ISHARES ULTRA SHORT DURATION,ETFs,Broad,84.756895982,0.646004544,0.547469531,0.00,-779.68,No
Performance by Symbol,Data,IJR,ISHARES CORE S&P SMALL-CAP E,ETFs,Broad,2.53465339,0.993207256,0.025672297,309.89,0.00,Yes
Performance by Symbol,Data,IMTM,ISHARES MSCI INTL MOMENTUM F,ETFs,Broad,2.295691008,5.275719511,0.119006861,880.58,0.00,Yes
Performance by Symbol,Data,MTUM,ISHARES MSCI USA MOMENTUM FA,ETFs,Broad,0.525242549,4.359037561,0.022203634,490.75,0.00,Yes
Performance by Symbol,Data,QUAL,ISHARES MSCI USA QUALITY FAC,ETFs,Broad,3.051607151,2.513745985,0.075585892,"1,564.64",0.00,Yes
Performance by Symbol,Data,USMV,ISHARES MSCI USA MIN VOL FAC,ETFs,Broad,0.995076719,0.202057916,0.002087311,-50.21,0.00,Yes
Performance by Symbol,Data,VBR,VANGUARD SMALL-CAP VALUE ETF,ETFs,Financials,1.378522981,1.256075169,0.017472691,246.58,0.00,Yes
Performance by Symbol,Data,VEA,VANGUARD FTSE DEVELOPED ETF,ETFs,Broad,6.903123629,5.234155416,0.352881703,"5,620.06",0.00,Yes
Performance by Symbol,Data,VFVA,VANGUARD U.S. VALUE FACTOR,ETFs,Broad,0.240020539,3.162559647,0.007454486,143.10,0.00,Yes
Performance by Symbol,Data,VGIT,VANGUARD INTERMEDIATE-TERM T,ETFs,Broad,10.864838952,-0.298110719,-0.032445841,"-2,414.25",0.00,Yes
Performance by Symbol,Data,VGSH,VANGUARD SHORT-TERM TREASURY,ETFs,Broad,43.619490948,0.33335576,0.145353988,"-3,186.39",0.00,Yes
Performance by Symbol,Data,VNQ,VANGUARD REAL ESTATE ETF,ETFs,Real Estate,4.902744701,-1.675981269,-0.083195898,"-3,027.63",0.00,Yes
Performance by Symbol,Data,VTV,VANGUARD VALUE ETF,ETFs,Broad,1.361108608,1.968363733,0.026657454,463.95,0.00,Yes
Performance by Symbol,Data,VWO,VANGUARD FTSE EMERGING MARKE,ETFs,Broad,6.009112422,2.360603609,0.141298055,610.82,0.00,Yes
